angle,distance_mm,velocity_mm_per_s
0.05000000000000071,0.0,0.0
0.05000000000000071,-0.004441802864327826,-0.02220901432163913
0.05000000000000071,-0.0016656760741220467,-0.008328380370610233
0.10000000000000142,0.0,0.0
0.10000000000000142,0.0,0.0
0.10000000000000142,-0.006583386388202328,-0.03291693194101164
0.1999999999999993,0.0007931790829172058,0.003965895414586029
0.1999999999999993,-0.009280195270113367,-0.046400976350566836
0.1999999999999993,-0.012452911601778638,-0.06226455800889319
0.3000000000000007,-0.010232010169612948,-0.05116005084806474
0.3000000000000007,-0.012294275785196263,-0.06147137892598131
0.3000000000000007,-0.00039658954145771474,-0.0019829477072885737
0.3999999999999986,-0.013880633951025345,-0.06940316975512673
0.3999999999999986,0.008328380370615562,0.04164190185307781
0.3999999999999986,0.03014080515080053,0.15070402575400266
0.5,-0.010152692261319984,-0.05076346130659992
0.5,-0.011501096702279057,-0.05750548351139528
0.5,-0.01951220543972987,-0.09756102719864934
0.6999999999999993,-0.005552253580409783,-0.027761267902048914
0.6999999999999993,-0.019591523348021056,-0.09795761674010528
0.6999999999999993,0.0,0.0
1,-0.017767211457311305,-0.08883605728655652
1,0.00951814899498693,0.04759074497493465
1,-0.006504068479909364,-0.03252034239954682
1.1999999999999993,-0.0024588551570392525,-0.012294275785196263
1.1999999999999993,-0.006821340113077667,-0.03410670056538834
1.1999999999999993,0.024271279937222445,0.12135639968611223
1.5,-0.008249062462324375,-0.04124531231162187
1.5,0.001586358165830859,0.007931790829154295
1.5,-0.009280195270115144,-0.04640097635057572
1.6999999999999993,0.0011897686243731442,0.005948843121865721
1.6999999999999993,-0.11033121043358385,-0.5516560521679192
1.6999999999999993,0.010152692261323537,0.050763461306617685
2,-0.11635937146374253,-0.5817968573187127
2,-0.015546310025147392,-0.07773155012573696
2,-0.011421778793987869,-0.057108893969939345
2.1999999999999993,-0.20646451528297405,-1.0323225764148702
2.1999999999999993,-0.20027771843622943,-1.0013885921811472
2.1999999999999993,-0.17513394150780393,-0.8756697075390196
2.5,-0.21130290768876314,-1.0565145384438157
2.5,-0.23113238476165598,-1.15566192380828
2.5,-0.20487815711714674,-1.0243907855857337
2.6999999999999993,-0.2542932139827965,-1.2714660699139824
2.6999999999999993,-0.2787231297366013,-1.3936156486830065
2.6999999999999993,-0.19670841256311,-0.98354206281555
3,-0.31782685852435044,-1.5891342926217522
3,-0.3150507317341429,-1.5752536586707144
3,-0.3371011102392014,-1.685505551196007
3.5,-0.33146953875050045,-1.6573476937525022
3.5,-0.339797919121116,-1.69898959560558
3.5,-0.3405117802957385,-1.7025589014786924
4,-0.4050765576450832,-2.025382788225416
4,-0.40349019947925235,-2.0174509973962618
4,-0.395241137016928,-1.97620568508464
4.5,-0.5323024825447717,-2.6615124127238587
4.5,-0.5122350517470018,-2.561175258735009
4.5,-0.5179459411439975,-2.5897297057199875
5,-0.6690465564394508,-3.345232782197254
5,-0.7145750357988163,-3.5728751789940816
5,-0.6836410515651004,-3.4182052578255018
7,-1.0002781414650759,-5.001390707325379
7,-0.9815591151082632,-4.907795575541316
7,-0.997660650491456,-4.98830325245728
10,-1.526711098796273,-7.6335554939813655
10,-1.5290906360450158,-7.645453180225079
10,-1.5611350709948173,-7.8056753549740865
15,-2.5279410551608468,-12.639705275804234
15,-2.5561782305126464,-12.780891152563232
15,-2.620029146687367,-13.100145733436834
20,-3.5497936676812314,-17.748968338406154
20,-3.579299929565698,-17.896499647828488
20,-3.564229526990297,-17.821147634951483
30,-5.45469255321174,-27.2734627660587
30,-5.477060203349964,-27.38530101674982
30,-5.459848217250692,-27.29924108625346
