Time (s),Velocity,Desired force,Rendered Force,Percentage of Error
1.0029807090759277,0.0,0,0,0
1.0230367183685303,0.0,0,0,0
1.0430924892425537,0.0,0,0,0
1.0631473064422607,0.0,0,0,0
1.0832014083862305,-5.504051065809499,0,0,0
1.1032564640045166,-17.38732320174403,0,0,0
1.1233105659484863,-16.623230928193177,0,0,0
1.1433653831481934,-16.42639296901738,0,0,0
1.1634197235107422,-17.718987583945424,0,0,0
1.1834750175476074,-19.357137484560248,0,0,0
1.2035410404205322,-18.68715361624203,0,0,0
1.2236120700836182,-18.119499280828666,0,0,0
1.243697166442871,-16.4231576847222,0,0,0
1.2637691497802734,-16.271466685331845,0,0,0
1.283839225769043,-18.19398316920169,0,0,0
1.3039188385009766,-15.996239479146348,0,0,0
1.3239901065826416,-16.95032242307421,0,0,0
1.3441131114959717,-18.74640634920795,0,0,0
1.3641691207885742,-18.997344650276347,0,0,0
1.3842272758483887,-17.756341056931934,0,0,0
1.4042909145355225,-15.852336847913646,0,0,0
1.424347162246704,-15.199636397694954,0,0,0
1.4444026947021484,-16.13213222802993,0,0,0
1.4644591808319092,-15.137516196478433,0,0,0
1.4845142364501953,-4.364394418275182,0,0,0
1.5045702457427979,7.793157831351282,0,0,0
1.5246245861053467,5.051374267213071,0,0,0
1.5446803569793701,1.969322933332,0,0,0
1.5647354125976562,0.24752324367150882,0,0,0
1.5847907066345215,0.07425609032994746,0,0,0
1.6048450469970703,0.24376624180250467,0,0,0
1.6249010562896729,-0.09297865624400112,0,0,0
1.6449568271636963,0.3264621632326442,0,0,0
1.6650128364562988,-0.23426740207863472,0,0,0
1.6850671768188477,0.3616162235418231,0,0,0
1.705122709274292,-0.36769324007880155,0,0,0
1.7251770496368408,0.1443970795654117,0,0,0
1.7452335357666016,-0.10063753912151345,0,0,0
1.765289306640625,-0.0744868499199854,0,0,0
1.785346269607544,0.39842812178831927,0,0,0
1.8054025173187256,-0.24588833225702386,0,0,0
1.8254599571228027,-0.19556188646240816,0,0,0
1.8455150127410889,0.09636077865375751,0,0,0
1.865572452545166,-0.09289497368477241,0,0,0
1.8856279850006104,0.35971044028706034,0,0,0
1.905684232711792,-0.2575117478400943,0,0,0
1.925741195678711,0.2660112913178299,0,0,0
1.9457974433898926,-0.019854047928541386,0,0,0
1.9658541679382324,-0.2717105046269005,0,0,0
1.9859113693237305,0.3060381191842235,0,0,0
2.005967855453491,-0.28467521060185924,0,0,0
2.026024580001831,0.21357218785363158,0,0,0
2.046081781387329,-0.24596933302654939,0,0,0
2.0661392211914062,-0.1180807485975806,0,0,0
2.086195945739746,0.40749856522449834,0,0,0
2.106252670288086,-0.24316277423174132,0,0,0
2.126310110092163,-0.15045517608157602,0,0,0
2.1463677883148193,0.16524290563840668,0,0,0
2.16642427444458,-0.050083278471009546,0,0,0
2.1864817142486572,0.2175025664373455,0,0,0
2.206545114517212,-0.023323950546939105,0,0,0
2.226602554321289,-0.19523527427379683,0,0,0
2.2466585636138916,0.31792411181705826,0,0,0
2.2667155265808105,-0.25896233189486817,0,0,0
2.2867729663848877,-0.14412309136798518,0,0,0
2.306830406188965,0.3775259179308252,0,0,0
2.3268866539001465,-0.2521565243387817,0,0,0
2.3469460010528564,0.278657646539211,0,0,0
2.367004632949829,-0.2817773223302308,0,0,0
2.3870649337768555,-0.10666841841228816,0,0,0
2.4071240425109863,0.3665818399324959,0,0,0
2.4271838665008545,-0.2332424724126691,0,0,0
2.447244644165039,-5.893243930716182,0,0,0
2.46730637550354,-9.096452773421147,0,0,0
2.4873647689819336,-4.113412447165822,0,0,0
2.507425546646118,-0.9238928780054868,0,0,0
2.5274853706359863,-0.6203941435055454,0,0,0
2.54754900932312,-0.08645928762087751,0,0,0
2.5676088333129883,0.1954850896955456,0,0,0
2.5876705646514893,-0.22918883213346475,0,0,0
2.607731580734253,0.3076458047330397,0,0,0
2.6277928352355957,-0.19554298024584696,0,0,0
2.6478569507598877,-0.16934475261815643,0,0,0
2.6679182052612305,0.2813073575296824,0,0,0
2.687978744506836,-0.22559266263494654,0,0,0
2.7080399990081787,0.308725046594204,0,0,0
2.7281012535095215,-0.31699472131124373,0,0,0
2.7481651306152344,-1.6890441452841807,0,0,0
