Time (s),Velocity,Desired force,Rendered Force,Percentage of Error
1.0029680728912354,0.0,0,0,0
1.0230252742767334,0.0,0,0,0
1.0430805683135986,0.0,0,0,0
1.0631353855133057,0.0,0,0,0
1.0831899642944336,-6.268045937658022,0,0,0
1.1032445430755615,-17.78308863372996,0,0,0
1.1232993602752686,-16.29827607613902,0,0,0
1.143355369567871,-15.807659479970528,0,0,0
1.1634101867675781,-19.271870378003612,0,0,0
1.183464765548706,-18.926807458716908,0,0,0
1.203519344329834,-20.15213418199497,0,0,0
1.223574161529541,-16.32238371526108,0,0,0
1.243628978729248,-16.048388649762625,0,0,0
1.2636840343475342,-16.785478008161434,0,0,0
1.2837388515472412,-17.316940557405704,0,0,0
1.3037936687469482,-16.67898033602609,0,0,0
1.323848009109497,-16.067156424146738,0,0,0
1.3439021110534668,-18.674465567519153,0,0,0
1.3639569282531738,-19.62201940139273,0,0,0
1.3840107917785645,-17.891840066006218,0,0,0
1.4040658473968506,-16.585218065687645,0,0,0
1.4241361618041992,-14.48820175354501,0,0,0
1.4441916942596436,-15.467718635527607,0,0,0
1.4642465114593506,-13.964919137944845,0,0,0
1.4843025207519531,-3.857021839738176,0,0,0
1.5043575763702393,4.346627757103195,0,0,0
1.5244123935699463,4.0836165973491845,0,0,0
1.5444667339324951,2.4986721515669865,0,0,0
1.564521312713623,0.49488415333582947,0,0,0
1.58457612991333,0.10416686317877098,0,0,0
1.604630708694458,0.20843900821246936,0,0,0
1.624685525894165,-0.014988122112752127,0,0,0
1.6447412967681885,0.22804996235410385,0,0,0
1.6647961139678955,-0.2195097737341047,0,0,0
1.6848509311676025,-0.07692708657418768,0,0,0
1.7049055099487305,0.08766446075312682,0,0,0
1.7249600887298584,-0.006923520100894074,0,0,0
1.7450141906738281,-0.11282259969937894,0,0,0
1.7650690078735352,0.07689597177679242,0,0,0
1.7851240634918213,-0.010153551120061907,0,0,0
1.8051791191101074,0.3734707099389977,0,0,0
1.8252336978912354,-0.29770470904822455,0,0,0
1.8452880382537842,-0.07823805673753904,0,0,0
1.865342617034912,0.0872717231077161,0,0,0
1.8853974342346191,-0.018115412138646574,0,0,0
1.905452013015747,0.28249675058134455,0,0,0
1.925506353378296,-0.22533366475193622,0,0,0
1.945561170578003,-0.14511757329707048,0,0,0
1.9656157493591309,0.04505849931392858,0,0,0
1.9856703281402588,0.013517549794169716,0,0,0
2.0057246685028076,0.36951109946067623,0,0,0
2.0257790088653564,-0.22137920317172807,0,0,0
2.0458333492279053,0.1661490121554771,0,0,0
2.065887689590454,-0.2602389938293184,0,0,0
2.085942268371582,-0.08914505610347559,0,0,0
2.10599684715271,0.3276336386549585,0,0,0
2.126051187515259,-0.18964360181117246,0,0,0
2.1461069583892822,-0.13440441760813346,0,0,0
2.1661617755889893,-0.051397397151703404,0,0,0
2.186216115951538,0.051026920829776376,0,0,0
2.206275701522827,0.18137690366074985,0,0,0
2.2263312339782715,-0.07846104640710155,0,0,0
2.2463862895965576,0.08720135444344024,0,0,0
2.2664401531219482,-0.17318229823859912,0,0,0
2.286494731903076,-0.018729978156934446,0,0,0
2.306549072265625,0.3376878905276697,0,0,0
2.326603889465332,-0.1755499029218519,0,0,0
2.34665846824646,-0.15233417196375454,0,0,0
2.366713047027588,0.3197511900058011,0,0,0
2.386767625808716,-0.2030803679395539,0,0,0
2.4068217277526855,-0.11629830614813347,0,0,0
2.4268765449523926,-1.9728652769605803,0,0,0
2.4469311237335205,-8.930804059431617,0,0,0
2.4669857025146484,-5.669298467242325,0,0,0
2.487039566040039,-2.154912126567059,0,0,0
2.507094383239746,-0.6132204326024154,0,0,0
2.527148723602295,0.09288994018469861,0,0,0
2.547203540802002,-0.2600616963333215,0,0,0
2.567258358001709,-0.14446343562400862,0,0,0
2.587312698364258,0.00095760989755723,0,0,0
2.6073672771453857,0.055658710098649956,0,0,0
2.6274216175079346,0.3378559267842156,0,0,0
2.6474761962890625,-0.2751701546472746,0,0,0
2.6675310134887695,-0.11577252836084762,0,0,0
2.6875855922698975,0.020639259128361374,0,0,0
2.7076401710510254,-0.015956794479361953,0,0,0
2.727694511413574,0.2942221844538068,0,0,0
2.747749090194702,-1.9494030380650451,0,0,0
2.7678041458129883,-3.9734579839547695,0,0,0
2.787858724594116,-1.2363628826620006,0,0,0
2.8079137802124023,-0.35982602311636536,0,0,0
2.8279683589935303,0.11353534857181082,0,0,0
2.848022937774658,-0.154202259280346,0,0,0
2.868077278137207,0.07555736767687342,0,0,0
2.888131618499756,-0.13237463843489217,0,0,0
2.9081854820251465,-0.02863865471202317,0,0,0
2.9282398223876953,0.33471555864787805,0,0,0
2.9482944011688232,-2.036923745208732,0,0,0
2.968348979949951,-3.5679115146486233,0,0,0
2.988403797149658,-1.6683650699423875,0,0,0
3.0084586143493652,-0.5005095209827163,0,0,0
3.028513193130493,0.027033936358017933,0,0,0
3.048567771911621,-0.12478125239981239,0,0,0
3.068622589111328,0.16190084948494674,0,0,0
3.088677167892456,-0.23936060656010236,0,0,0
3.108731508255005,-2.308841424602106,0,0,0
3.128786087036133,-5.089135778039749,0,0,0
