,Time (s),Velocity,Handler Velocity,Desired force,Rendered Force,Percentage of Error,Aligned Velocity
171,4.432356357574463,0.2999582380161596,0.1760453219473232,0.8,0.8178403345645268,2.230041820565839,-0.1500469835655518
172,4.452412843704224,0.9094099193721432,0.7989529373037478,0.8,0.8207586653539914,2.594833169248925,0.1760453219473232
173,4.472470283508301,2.033370330413077,1.9559766519955812,0.8,0.8272841378342566,3.410517229282067,0.7989529373037478
174,4.492526292800903,1.1194354350809497,0.920973383451406,0.8,0.8308763630324089,3.859545379051102,1.9559766519955812
175,4.51258397102356,1.675584242734486,1.1202172635225915,0.8,0.8362536957645245,4.531711970565552,0.920973383451406
176,4.532641172409058,2.4515067248792306,1.3983684703515575,0.8,0.8441209540171332,5.51511925214164,1.1202172635225915
177,4.552698373794556,5.718229152046778,4.30666985120957,0.8,0.8624716218044978,7.808952725562214,1.3983684703515575
178,4.572755575180054,7.750165497497925,5.975159886438782,0.8,0.8873430826291784,10.91788532864729,4.30666985120957
179,4.592812776565552,5.004676463847409,2.331330716981614,0.8,0.9034038512219223,12.925481402740289,5.975159886438782
180,4.612870216369629,3.9373805126890233,-0.5433901021159806,0.8,0.9160396548409634,14.504956855120419,2.331330716981614
181,4.632927417755127,1.3251750898174548,-5.359671436206933,0.8,0.9202923434245656,15.036542928070688,-0.5433901021159806
182,4.652984857559204,4.328358593325317,-3.7053137351123695,0.8,0.9341828701343388,16.77285876679234,-5.359671436206933
183,4.673041820526123,7.38867178417182,-1.073869555949062,0.8,0.9578939607503152,19.73674509378939,-3.7053137351123695
184,4.693099021911621,5.782029047407024,-3.062344203014897,0.8,0.9764493721136184,22.056171514202287,-1.073869555949062
185,4.713156700134277,4.203751665943619,-6.102256413892325,0.9404431632409419,0.9899401718325704,5.2631578947368425,-3.062344203014897
186,4.733212947845459,1.4383892829771667,-11.760677146024047,0.9448281643891459,0.9945559625148904,5.263157894736847,-6.102256413892325
187,4.75326943397522,-2.61362740791274,-30.802539217867388,0.4,0.986168733418064,146.54218335451597,-11.760677146024047
188,4.773328065872192,-23.991017792733174,-76.37272291954763,0.4,0.9091724142599592,127.29310356498979,-30.802539217867388
189,4.793385028839111,-34.3709718670547,-98.74205020413856,0.4,0.7988720446800344,99.71801117000858,-76.37272291954763
190,4.813442230224609,-30.82913794690515,-95.92680587934343,0.4,0.6999366481452541,74.98416203631352,-98.74205020413856
191,4.833499431610107,-26.57773297434364,-89.18904974087066,0.4,0.6146446573234298,53.66116433085743,-95.92680587934343
192,4.8535566329956055,-23.464220361817933,-80.3282188776541,0.4,0.53934440241932,34.83610060483,-89.18904974087066
193,4.873614311218262,-18.21132677450017,-69.19798522057349,0.4,0.4809000932272291,20.22502330680727,-80.3282188776541
194,4.89367151260376,-15.37371799720827,-61.823030266271886,0.4,0.4315634919610111,7.890872990252775,-69.19798522057349
195,4.913728475570679,-18.132266228004514,-59.01451185966687,0.4,0.3733749812023869,-6.656254699403285,-61.823030266271886
196,4.933785676956177,-8.18567905035844,-42.78109406836058,0.4,0.3471058910919721,-13.223527227006981,-59.01451185966687
197,4.953842878341675,-2.455703715107535,-30.842542606688752,0.4,0.3392251640588478,-15.193708985288058,-42.78109406836058
198,4.973900318145752,-0.7367023574017978,-21.265354786881908,0.4,0.3368609459489105,-15.784763512772386,-30.842542606688752
199,4.993957757949829,-0.2099380007641859,-15.469179494702429,0.4,0.3361872149388439,-15.953196265289028,-21.265354786881908
200,5.014014959335327,-0.0629821488848476,-14.797860667614362,0.4,0.3359850956358239,-16.00372609104403,-15.469179494702429
201,5.034072399139404,-0.0299671265251282,-12.999996228120589,0.4,0.3358889254220032,-16.0277686444992,-14.797860667614362
202,5.054129600524902,0.013155431331014,-8.850139691938804,0.4,0.3359311432036864,-16.017214199078406,-12.999996228120589
203,5.074186563491821,9.316314194419885,3.6074498322951625,0.3475368452989225,0.3658282582093921,5.26315789473684,-8.850139691938804
204,5.094243288040161,12.616768359099009,8.471167287860084,0.3860006045445586,0.4063164258363775,5.263157894736852,3.6074498322951625
205,5.114300727844238,9.509484770070838,6.322622408794771,0.41499246413276825,0.436834172771335,5.263157894736847,8.471167287860084
206,5.134358882904053,4.336433457347575,-1.2203793896529218,0.42821355404626305,0.4507511095223822,5.263157894736848,6.322622408794771
207,5.154415845870972,1.6774883282710569,-9.258225507904925,0.4333276428804539,0.4561343609267936,5.2631578947368505,-1.2203793896529218
208,5.174473524093628,0.4589382533820977,-12.925884839936716,0.43472683872363554,0.4576071986564585,5.263157894736847,-9.258225507904925
209,5.194530487060547,0.1487593556043164,-11.903041291673702,0.4,0.4580845843982727,14.52114609956817,-12.925884839936716
210,5.214585781097412,0.1110748673694363,-10.994304160717835,0.4,0.4584410066583047,14.610251664576163,-11.903041291673702
211,5.234643220901489,-0.0109719304883981,-11.956135780066251,0.4,0.4584057956446558,14.601448911163939,-10.994304160717835
212,5.2546985149383545,0.0410036332931421,-12.339754904472043,0.4,0.4585373700322196,14.634342508054898,-11.956135780066251
213,5.274755001068115,-0.0762855048062958,-11.770526175157144,0.4,0.4582925669651717,14.573141741292913,-12.339754904472043
214,5.294811248779297,-0.0228859234949954,-11.229271353188931,0.4,0.4582191260450573,14.554781511264325,-11.770526175157144
215,5.314867496490479,-0.0843793291795889,-11.481734041520363,0.4,0.4579483528086207,14.487088202155162,-11.229271353188931
216,5.33492374420166,-1.5423647476053777,-13.015608864260296,0.4,0.4529989048983859,13.249726224596468,-11.481734041520363
